,,,,,,ADVERTISING AND PRESS,,,,,,,Campaign materials,,,,,,,Campaign activity,,,Data and infrastructure,,,,,,,,Production Services,,,,Consultancy,,,,,Research,,,,,,,Miscellaneous,,,,,,,,Completely unclear
Supplier,Party,Total Spend,Expense Category,Supplier,More than 1 service,ADVERTISING AND PRESS,Merchandise,Newspaper or magazine advertising,Social media advertising,Online advertising (i.e. web advertising but not online newspapers or social media),"Other forms of advertising (billboards, advans, digital posters outside)",PR,Campaign materials,Design services,Campaign material printing,Paid leaflet delivery/ postage,Event costs/Venue hire,"Creative content owned by a third party (e.g. Getty images, PA images, demo music)",Translation/Braile/British Sign Language services,Campaign activity,Fundraising,Phone banking,Data and infrastructure,Campaign database or CRM,Data Services and analysis,IT infrastructure and support,Telecommunications services,Mobile application services,Email services,Website services,Production Services,Video editing/ production,Audio editing/production,Photos editing/production,Consultancy,Communication consultants,Design consultants,Social media strategy and consultancy,Data consultancy,Research,Polling,Focus groups,Ordinance survey data,Message testing,Archival research,Other forms of research,Miscellaneous,Catering,Accommodation,Expenses claimed by provider,Office infrastructure and supplies,Physical Security,Recruitment services/staffing costs,Transport,Completely unclear
Bobs Leaflet Delivery,Green Party,"£4,750.00",Advertising,Bobs Leaflet Delivery,,,,,,,,,,,,"£4,750.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scent Hound Graphic Design Limited,Green Party,"£7,335.48",Advertising,Scent Hound Graphic Design Limited,y,,,,,,,,,£652.50,"£5,016.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£1,666.20"
Facebook UK Limited,Conservative and Unionist Party,"£1,014,276.94",Advertising,Facebook UK Limited,,,,,"£1,014,276.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Devon Leaflet Distribution,Green Party,"£4,800.00",Advertising,South Devon Leaflet Distribution,,,,,,,,,,,,"£4,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newsquest (London) Ltd,Green Party,"£10,949.10",Advertising,Newsquest (London) Ltd,,,,"£1,447.20",,,,,,,"£9,581.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£200.00
Tradeprint,Conservative and Unionist Party,"£3,351.98",Advertising,Tradeprint,y,,,,,,,,,,"£2,051.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£436.06,,,,£864.17
Crimson Tangerine,Conservative and Unionist Party,"£418,400.00",Advertising,Crimson Tangerine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£418,400.00"
News UK,Conservative and Unionist Party,"£48,000.00",Advertising,News UK,,,,,,"£48,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham Northfield CA,Conservative and Unionist Party,"£3,366.74",Advertising,Birmingham Northfield CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£3,366.74"
Croydon Central CA,Conservative and Unionist Party,"£5,221.06",Advertising,Croydon Central CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£5,221.06"
Monmouth CA,Conservative and Unionist Party,"£9,228.57",Advertising,Monmouth CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£9,228.57"
Pendle CA,Conservative and Unionist Party,"£8,651.41",Advertising,Pendle CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£8,651.41"
Torbay CA,Conservative and Unionist Party,"£2,637.25",Advertising,Torbay CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£2,637.25"
Nuneaton CA,Conservative and Unionist Party,£490.90,Advertising,Nuneaton CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£490.90
Bury Council,Conservative and Unionist Party,"£7,114.00",Advertising,Bury Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£7,114.00"
E1 Media Agency Ltd,Conservative and Unionist Party,"£2,160.00",Advertising,E1 Media Agency Ltd,,,,,,,,,,,,,,,,,,,,,,"£2,160.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orpington CA,Conservative and Unionist Party,"£1,855.28",Advertising,Orpington CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£1,855.28"
Wallasey CA,Conservative and Unionist Party,"£34,748.34",Advertising,Wallasey CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£34,748.34"
Watford CA,Conservative and Unionist Party,"£6,717.45",Advertising,Watford CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£6,717.45"
Google Ireland Limited,Conservative and Unionist Party,"£879,091.32",Advertising,Google Ireland Limited,,,,,,"£879,091.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Davis,Conservative and Unionist Party,"£20,250.00",Advertising,Philip Davis,,,,,,,,,,"£20,250.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawley CA,Conservative and Unionist Party,"£7,959.71",Advertising,Crawley CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£7,959.71"
"Southampton, Test CA",Conservative and Unionist Party,"£4,875.18",Advertising,"Southampton, Test CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£4,875.18"
Harwich And North Essex CA,Conservative and Unionist Party,"£3,523.80",Advertising,Harwich And North Essex CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£3,523.80"
South Basildon And East Thurrock CA,Conservative and Unionist Party,"£9,713.86",Advertising,South Basildon And East Thurrock CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£9,713.86"
PPC,Conservative and Unionist Party,"£3,057.00",Advertising,PPC,,,"£1,357.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£1,700.00"
Mailjet,Conservative and Unionist Party,"£6,312.00",Advertising,Mailjet,,,,,,,,,,,,,,,,,,,,,,,,,"£6,312.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor CA,Conservative and Unionist Party,"£8,900.88",Advertising,Windsor CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£8,900.88"
Canterbury CA,Conservative and Unionist Party,"£3,571.50",Advertising,Canterbury CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£3,571.50"
